Award,Year,date,Category,Nominee,Result
American Film Institute Awards,2006,11-Jan,Television Programs of the Year,The Office,Won
British Comedy Awards,2006,5-Feb,Best International Comedy Show,The Office,Nominated
Golden Globe Awards,2006,20-Feb,Best Actor in a Television Series � Musical or Comedy,Steve Carell,Won
Primetime Emmy Awards,2006,8-Mar,Outstanding Comedy Series,The Office[Nom 6],Won
Primetime Emmy Awards,2006,5-Feb,Outstanding Lead Actor in a Comedy Series,Steve Carell,Nominated
Primetime Emmy Awards,2006,21-Feb,Outstanding Writing for a Comedy Series,"Michael Schur�(for ""Christmas Party"")",Nominated
Primetime Creative Arts Emmy Awards,2006,9-Mar,Outstanding Single-Camera Picture Editing for a Comedy Series,"Dean Holland�(for ""Booze Cruise"")",Nominated
Satellite Awards,2006,25-Mar,"Best Television Series, Comedy or Musical",The Office,Nominated
Satellite Awards,2006,10-Apr,"Best Actor in a Series, Comedy or Musical",Steve Carell,Nominated
Teen Choice Awards,2006,26-Apr,Choice TV Actor: Comedy,Steve Carell,Nominated
Television Critics Association Awards,2006,12-May,Program of the Year,The Office,Nominated
Television Critics Association Awards,2006,28-May,Outstanding Achievement in Comedy,The Office,Won
Television Critics Association Awards,2006,13-Jun,Individual Achievement in Comedy,Steve Carell,Won
Writers Guild of America Awards,2006,29-Jun,Television: New Series,The Office[Nom 25],Nominated
Writers Guild of America Awards,2006,15-Jul,Television: Comedy Series,The Office[Nom 25],Nominated
Writers Guild of America Awards,2006,31-Jul,Television: Episodic Comedy,"B.�J. Novak�(for ""Diversity Day"")",Nominated
Primetime Creative Arts Emmy Awards,2006,16-Aug,Outstanding Single-Camera Picture Editing for a Comedy Series,"David Rogers�(for ""Christmas Party"")",Nominated
American Cinema Editors Awards,2007,11-Jan,Best Edited Half-Hour Series for Television,"Dean Holland�and�David Rogers�(for ""Casino Night"")",Won
British Comedy Awards,2007,5-Feb,Best International Comedy Show,The Office,Nominated
Daytime Emmy Awards,2007,20-Feb,Outstanding Broadband Program � Comedy,The Office: The Accountants[Nom 3],Won
GLAAD Media Awards,2007,8-Mar,Outstanding Comedy Series,The Office,Nominated
Golden Globe Awards,2007,5-Feb,Best Television Series � Musical or Comedy,The Office,Nominated
Golden Globe Awards,2007,21-Feb,Best Actor in a Television Series � Musical or Comedy,Steve Carell,Nominated
NAACP Image Awards,2007,9-Mar,Outstanding Directing in a Comedy Series,"Ken Whittingham�(for ""Michael's Birthday"")",Won
Peabody Awards,2007,25-Mar,�,The Office[Nom 5],Won
Primetime Emmy Awards,2007,10-Apr,Outstanding Comedy Series,The Office[Nom 7],Nominated
Primetime Emmy Awards,2007,26-Apr,Outstanding Lead Actor in a Comedy Series,Steve Carell,Nominated
Primetime Emmy Awards,2007,12-May,Outstanding Supporting Actor in a Comedy Series,Rainn Wilson,Nominated
