season,seasonEpisode,episode,id,spkr
1,1,1,1,Michael
1,1,1,2,Jim
1,1,1,3,Michael
1,1,1,4,Jim
1,1,1,5,Michael
1,1,1,6,Michael
1,1,1,7,Michael
1,1,1,8,Pam
1,1,1,9,Michael
1,1,1,10,Pam
1,1,1,11,Michael
1,1,1,12,Pam
1,1,1,13,Michael
1,1,1,14,Pam
1,1,1,15,Michael
1,1,1,16,Michael
1,1,1,17,Dwight
1,1,1,18,Jim
1,1,1,19,Michael
1,1,1,20,Jim
1,1,1,21,Michael
1,1,1,22,Dwight
1,1,1,23,Michael
1,1,1,24,Dwight
1,1,1,25,Michael
1,1,1,26,Jim
1,1,1,27,Michael
1,1,1,28,Jim
1,1,1,29,Michael
1,1,1,30,Jan
1,1,1,31,Michael
1,1,1,32,Jan
1,1,1,33,Michael
1,1,1,34,Jan
1,1,1,35,Michael
1,1,1,36,Jan
1,1,1,37,Michael
1,1,1,38,Pam
1,1,1,39,Michael
1,1,1,40,Pam
1,1,1,41,Michael
1,1,1,42,Jan
1,1,1,43,Michael
1,1,1,44,Jan
1,1,1,45,Michael
1,1,1,46,Jan
1,1,1,47,Michael
1,1,1,48,Jan
1,1,1,49,Michael
1,1,1,50,Jan
1,1,1,51,Michael
1,1,1,52,Jan
1,1,1,53,Michael
1,1,1,54,Michael
1,1,1,55,Jan
1,1,1,56,Michel
1,1,1,57,Todd Packer
1,1,1,58,Michael
1,1,1,59,Todd Packer
1,1,1,60,Michael
1,1,1,61,Todd Packer
1,1,1,62,Michael
1,1,1,63,Jan
1,1,1,64,Michael
1,1,1,65,Phyllis
1,1,1,66,Stanley
1,1,1,67,Oscar
1,1,1,68,Angela
1,1,1,69,Kevin
1,1,1,70,Pam
1,1,1,71,Jim
1,1,1,72,Pam
1,1,1,73,Jim
1,1,1,74,Michael
1,1,1,75,Michael
1,1,1,76,Ryan
1,1,1,77,Pam
1,1,1,78,Michael
1,1,1,79,Ryan
1,1,1,80,Michael
1,1,1,81,Ryan
1,1,1,82,Michael
1,1,1,83,Pam
1,1,1,84,Pam
1,1,1,85,Jim
1,1,1,86,Dwight
1,1,1,87,Jim
1,1,1,88,Dwight
1,1,1,89,Jim
1,1,1,90,Dwight
1,1,1,91,Dwight
1,1,1,92,Jim
1,1,1,93,Dwight
1,1,1,94,Jim
1,1,1,95,Dwight
1,1,1,96,Dwight
1,1,1,97,Pam
1,1,1,98,Michael
1,1,1,99,Pam
1,1,1,100,Michael
1,1,1,101,Pam
1,1,1,102,Michael
1,1,1,103,Pam
1,1,1,104,Michael
1,1,1,105,Michael
1,1,1,106,Michael
1,1,1,107,Michael
1,1,1,108,Dwight
1,1,1,109,Michael
1,1,1,110,Dwight
1,1,1,111,Michael
1,1,1,112,Oscar
1,1,1,113,Dwight
1,1,1,114,Michael
1,1,1,115,Dwight
